Price,Open,High,Low,Close,Volume,RSI,EMA_20,MACD,MACD_signal,BB_high,BB_low
2015-02-20,28.686780798766748,28.883052825927734,28.55965252898941,28.883052825927734,195793600.0,78.73724449336498,27.14726318274951,1.056687141133569,0.9099615276422679,29.539269467199354,24.275956896936385
2015-02-23,28.999038964560516,29.66368293762207,28.91874615280999,29.66368293762207,283896400.0,82.37924977755581,27.386922207023087,1.1251904092377565,0.9530073039613657,29.889474859720977,24.382174310200895
2015-02-24,29.65030137339149,29.797505428827776,29.25552809862953,29.47856330871582,276912400.0,78.92672378560576,27.586126121470013,1.151271000355493,0.9926600432401912,30.125278859700835,24.581614870462737
2015-02-25,29.34250546676133,29.35142877908934,28.5819547450075,28.72469711303711,298846800.0,66.67234413958187,27.694561454000212,1.0984471401758675,1.0138174626273264,30.01206584223123,25.142660758415744
2015-02-26,28.724700756115052,29.18861436185984,28.238485673214807,29.08824920654297,365150000.0,69.15919650150232,27.827293620909046,1.0735443154125157,1.0257628331843642,30.095127604620053,25.406715657098694
2015-02-27,28.99458634323009,29.121718086140348,28.602045476368044,28.651113510131836,248059200.0,63.06562073414851,27.90575265797788,1.0069282083723934,1.02199590822197,30.154081383927068,25.571409758345883
2015-03-02,28.827300982962026,29.05702697772314,28.615418213446564,28.791614532470703,192386800.0,64.1587055420344,27.990120455548627,0.9544691951415238,1.008490565605881,30.1626828131837,25.839161783679096
2015-03-03,28.762616822721085,28.887515972542232,28.568573911948544,28.851829528808594,151265200.0,64.64168041180784,28.07218798633529,0.9072951623164691,0.9882514849479986,30.178490665963775,26.073071834036224
2015-03-04,28.79384789282073,28.89644218688216,28.61988069571888,28.6689453125,126665200.0,61.912841923765235,28.129022017398597,0.8454068496874179,0.9596825578958825,30.13733103659545,26.345216151209723
2015-03-05,28.677866050476716,28.71578162559271,28.048906862742268,28.19388008117676,226068400.0,55.37356965750514,28.135198975853662,0.7493876478390149,0.917623575884509,30.056207674534914,26.58960149904907
2015-03-06,28.63771411109559,28.85405849556889,28.1604206909755,28.236251831054688,291368400.0,55.8217624855086,28.144823057301377,0.668998980878662,0.8678986568833397,29.974990428697808,26.819359623182073
2015-03-09,28.539587810298716,28.898676368147218,27.892785303343523,28.356698989868164,354114000.0,57.13951742712865,28.16500171754583,0.6080008074005008,0.815919086986772,29.8137673744869,27.16369520333292
2015-03-10,28.19388020803928,28.37453817397716,27.611758204879983,27.770112991333008,275426400.0,49.40986830898823,28.127393267430325,0.5064882464458513,0.7540329188785879,29.641667189448604,27.442629990727177
2015-03-11,27.823641387774657,27.8281013430904,27.234828591930793,27.263822555541992,275756000.0,43.890984527601255,28.045148437726674,0.3807958263590727,0.6793855003746849,29.63241804721766,27.456786359520624
2015-03-12,27.279435822987377,27.85709789818275,27.127771813054192,27.756731033325195,193450800.0,49.77299850454132,28.01768011349796,0.31729963988792775,0.6069683282773335,29.640550403291876,27.4390634730509
2015-03-13,27.745583939947167,27.968619177886257,27.339659874962983,27.564924240112305,207309200.0,47.6784153960584,27.97456050650885,0.2486351383236034,0.5353016902865875,29.680492135272374,27.335110739483483
2015-03-16,27.629598495237374,27.86824607849121,27.40433418037639,27.86824607849121,143497200.0,51.17745294442537,27.964435322888125,0.2162013291815157,0.47148161806557315,29.687934038212905,27.280161931940906
2015-03-17,28.080134441165704,28.396844044080183,28.02437563635863,28.334394454956055,204092400.0,56.04268996004427,27.999669525942213,0.22551201781460506,0.4222876980153796,29.68079609991534,27.269680546508
2015-03-18,28.325467862356152,28.80722466797545,28.18495631152888,28.653329849243164,261083600.0,59.04950008020908,28.061922890066114,0.25567891907637375,0.3889659422275784,29.676088730327688,27.268812354572216
